name,longitude,latitude
中央戏剧学院,116.411033,39.942333
北京协和医学院,116.421237,39.917338
北京财贸职业学院(东城校区),116.430855,39.928422
北京市工贸技师学院(服务分院),116.407889,39.866465
北京市民政教育管理学院,116.422686,39.929503
北京工业大学继续教育学院,116.413756,39.873162
伦敦艺术大学,116.431256,39.955054
东城区职工大学南楼,116.449082,39.89128
中国协和医科大学护理学院(东院),116.427017,39.916391
中国社会科学院科研大楼,116.438925,39.915732
中央音乐学院,116.365603,39.908297
中国人民公安大学(木樨地校区),116.343706,39.906724
北京建筑大学,116.347969,39.940685
外交学院,116.352266,39.931821
国家汉办孔子学院总部,116.384656,39.957862
北京开放大学西直门校区,116.369651,39.943341
北京华文学院,116.344837,39.929698
北京师范大学(北校区),116.390422,39.942497
北京市工会干部学院,116.38417,39.885205
中国伊斯兰教经学院,116.374619,39.889798
首都经济贸易大学,116.323751,39.846619
首都医科大学,116.359737,39.870847
中国戏曲学院,116.339316,39.869495
北京电子科技学院,116.286097,39.843926
国家法官学院(新校区),116.324944,39.838655
北京戏曲艺术职业学院,116.383753,39.861792
北京信息职业技术学院(南校区),116.318268,39.844632
北京体育职业学院,116.417236,39.858513
首都经济贸易大学华侨学院,116.318153,39.846443
北方工业大学,116.21485,39.933738
中国科学院大学(玉泉路校区),116.257207,39.915389
首钢工学院,116.208843,39.932051
北京工业职业技术学院,116.127485,39.96617
国家检察官学院(香山校区),116.2082,39.951041
北京市石景山区业余大学,116.207061,39.923254
中国新闻学院,116.21937,39.907055
潭州农业学院(北京),116.189986,39.911735
北京轻工技师学院,116.096634,39.938827
北京市门头沟区社会主义学院,116.110529,39.945355
北京工业大学,116.488157,39.881251
对外经济贸易大学,116.434341,39.986491
中国传媒大学,116.563871,39.918036
北京化工大学(东校区),116.427674,39.977968
中央美术学院,116.470254,39.989397
北京中医药大学(西校区),116.434476,39.977288
北京联合大学,116.433682,39.996699
北京第二外国语学院,116.5701,39.918528
北京服装学院,116.437457,39.980234
首都经济贸易大学(红庙校区),116.482491,39.920327
北京理工大学(良乡校区),116.178507,39.737034
北京工商大学(良乡校区),116.173806,39.72606
北京中医药大学(良乡校区),116.17721,39.718568
首都师范大学(良乡校区),116.185649,39.71881
北京农业职业学院,116.234899,39.77807
北京民族大学,116.10248,39.671635
北京经贸职业学院,116.170599,39.72787
现代管理大学,116.060296,39.637891
北京网络职业学院,116.075106,39.694929
北京开放大学供销学院,116.046239,39.717238
北京城市学院(顺义校区),116.822551,40.165316
北京工业大学耿丹学院,116.658646,40.221871
国家会计学院,116.574024,40.057088
首都医科大学燕京医学院,116.672757,40.133832
国际安全防卫学院,116.566792,40.196258
顺鑫大学,116.700541,40.118049
北京电大(顺义分校),116.643744,40.135153
北京市燃气集团燃气学院,116.555565,40.154267
北京市顺义区老干部大学,116.676882,40.118928
顺义区老年大学怡馨家园第一社区分校,116.654087,40.125539
北京大学,116.316833,39.998877
清华大学,116.333374,40.009645
北京师范大学,116.372141,39.967345
中国人民大学,116.319769,39.976546
北京航空航天大学,116.353792,39.98766
北京科技大学,116.365942,39.996165
北京邮电大学,116.364594,39.96725
北京理工大学,116.322726,39.966659
首都师范大学,116.312068,39.936212
北京林业大学,116.35146,40.00819
中国科学院大学雁栖湖校区西区,116.685864,40.416909
航天工程大学,116.670839,40.362021
国家法官学院(北京分院),116.686793,40.398062
京北职业技术学院,116.647689,40.34552
北京华嘉专修学院,116.649772,40.334411
北京电影学院怀柔校区(建设中),116.702756,40.291574
北京影视研修学院,116.685895,40.293129
中国科学院大学(学园一),116.686381,40.417481
北京市怀柔区老干部大学,116.635352,40.342245
北京建筑大学(大兴校区),116.292894,39.754691
北京印刷学院,116.33571,39.750402
北京政法职业学院,116.375245,39.768263
北京电子科技职业学院(亦庄校区),116.515349,39.776965
中国人民公安大学(团河校区),116.37251,39.771627
北京石油化工学院,116.332327,39.753911
首都师范大学科德学院,116.318854,39.51881
北京大学软件与微电子学院,116.363619,39.764303
北京石油化工学院(康庄校区),116.319674,39.76316
北京华夏管理学院,117.027384,40.143344
北京世贤通航学院,117.165892,40.195743
华夏商学院,117.088581,40.153385
北京市平谷区社会主义学院,117.113284,40.143344
华北电力大学,116.31637,40.095687
中国政法大学(昌平校区),116.254443,40.230445
中国石油大学(北京),116.253981,40.224412
北京科技职业学院,116.257172,40.123649
北京吉利学院,116.172301,40.181681
中央财经大学(沙河新校区),116.288315,40.177797
北京邮电大学(沙河校区),116.295299,40.163661
北京化工大学(昌平新校区),116.157203,40.259982
北京航空航天大学(沙河校区),116.276079,40.16096
中央戏剧学院(昌平校区),116.38247,40.110484
首都经济贸易大学(密云分校),116.835785,40.374525
中航大学,116.907518,40.470798
北京自修大学,116.812994,40.359541
中国社会科学院哲学社会科学教育学院,116.822888,40.539723
现代管理大学(密云校区),116.811924,40.363291
密云区老干部大学,116.858098,40.39514
果园街道老年大学瑞和园社区分校,116.840105,40.36765
北京物资学院,116.644583,39.936967
北京现代音乐研修学院,116.658258,39.8807
北京财贸职业学院,116.654178,39.927147
北京工商大学嘉华学院,116.738704,39.941772
北京工业大学(通州校区),116.675151,39.93553
北京卫生职业学院第二院区(玉带河西街),116.656052,39.906631
北京卫生职业学院,116.675206,39.891339
北京电子信息技师学院,116.689867,39.993108
中国人民大学(东校区),116.746977,39.912149
北京交通运输职业学院,116.668767,39.868594
北京邮电大学(世纪学院),115.89997,40.377471
北京科技职业学院(八达岭校区),116.027287,40.423339
北京人文大学(康庄校区),115.898594,40.378351
北京市第二外国语学院贯培学院,116.003212,40.460992
北京美国英语语言学院,115.897205,40.376062
北京第二外国语学院(延庆分校),116.003706,40.459479
北京人文大学铁道学院,115.896964,40.375757
北京人文大学书法学院,115.896915,40.376073
